Contact RowID|Contact Status|Call Outcome|Call Attempt|Contact Comment|Update By|Upload Status|Error Message
2407081143615|Success SMS||5||AUNJAIBOT||
2407081142425|Success SMS||5||AUNJAIBOT||
2407081143904|Success SMS||5||AUNJAIBOT||
2407221346354|Unsuccess|System Conect|4||AUNJAIBOT||
2407093460296|Success SMS||5||AUNJAIBOT||
2407071155876|Success SMS||5||AUNJAIBOT||
2407093457352|Unsuccess|System Conect|4||AUNJAIBOT||
2407071155353|Unsuccess|System Conect|1||AUNJAIBOT||
2407093456990|Unsuccess|System Conect|4||AUNJAIBOT||
2407093457166|Success SMS||5||AUNJAIBOT||
2407093456900|Success SMS||5||AUNJAIBOT||
2407071156365|Unsuccess|System Conect|4||AUNJAIBOT||
2407221345268|Unsuccess|System Conect|1||AUNJAIBOT||
2407093460431|Success SMS||5||AUNJAIBOT||
2407093458437|Unsuccess|System Conect|4||AUNJAIBOT||
2407093459756|Unsuccess|System Conect|4||AUNJAIBOT||
2407221346438|Unsuccess|System Conect|1||AUNJAIBOT||
2407093458641|Unsuccess|System Conect|4||AUNJAIBOT||
2407081144738|Success SMS||5||AUNJAIBOT||
2407081145340|Success SMS||5||AUNJAIBOT||
2407093456960|Success SMS||5||AUNJAIBOT||
2407093457450|Unsuccess|System Conect|4||AUNJAIBOT||
2407093458116|Success SMS||5||AUNJAIBOT||
2407221346034|Unsuccess|System Conect|3||AUNJAIBOT||
2407093460394|Unsuccess|System Conect|4||AUNJAIBOT||
2407093458787|Success SMS||5||AUNJAIBOT||
2407081147490|Success|Voice Aileen ไม่ตอบรับ - ลูกค้าไม่สนใจแพ็กเกจ|4||AUNJAIBOT||
2407093460902|Success SMS||5||AUNJAIBOT||
2407081147717|Unsuccess|System Conect|4||AUNJAIBOT||
2407093460496|Unsuccess|System Conect|2||AUNJAIBOT||
2407093458449|Unsuccess|System Conect|4||AUNJAIBOT||
2407093459519|Success SMS||5||AUNJAIBOT||
2407221345399|Success|Voice Aileen - ลูกค้าวางสายก่อนยืนยันข้อมูล|3||AUNJAIBOT||
2407221345287|Unsuccess|System Conect|3||AUNJAIBOT||
2407221345378|Unsuccess|System Conect|1||AUNJAIBOT||
2407221345578|Unsuccess|System Conect|4||AUNJAIBOT||
2407221345106|Unsuccess|System Conect|1||AUNJAIBOT||
2407221346286|Unsuccess|System Conect|2||AUNJAIBOT||
