Contact RowID|Contact Status|Call Outcome|Call Attempt|Contact Comment|Update By|Upload Status|Error Message
2407221387809|Success SMS||5||AUNJAIBOT||
240723800065|Success SMS||5||AUNJAIBOT||
2407093462740|Success SMS||5||AUNJAIBOT||
2407071186862|Success SMS||5||AUNJAIBOT||
2407093482273|Success SMS||5||AUNJAIBOT||
2407071255156|Success SMS||5||AUNJAIBOT||
2407231136554|Success SMS||5||AUNJAIBOT||
2407081161778|Success SMS||5||AUNJAIBOT||
2407081196432|Success SMS||5||AUNJAIBOT||
240723801903|Success SMS||5||AUNJAIBOT||
2407081205057|Success SMS||5||AUNJAIBOT||
2407081231820|Success SMS||5||AUNJAIBOT||
2407093534531|Success SMS||5||AUNJAIBOT||
2407071233267|Success SMS||5||AUNJAIBOT||
2407071246211|Success SMS||5||AUNJAIBOT||
2407071237836|Success SMS||5||AUNJAIBOT||
2407093540651|Success SMS||5||AUNJAIBOT||
2407071245486|Success SMS||5||AUNJAIBOT||
2407031842247|Success SMS||5||AUNJAIBOT||
2407093536473|Success|Voice Aileen - ลูกค้าวางสายก่อนยืนยันข้อมูล|5||AUNJAIBOT||
240723800378|Success SMS||5||AUNJAIBOT||
2407093536965|Success SMS||5||AUNJAIBOT||
2407081132160|Success SMS||5||AUNJAIBOT||
2407093462725|Success SMS||5||AUNJAIBOT||
2407081146258|Success SMS||5||AUNJAIBOT||
2407071153444|Success SMS||5||AUNJAIBOT||
2407093458567|Success SMS||5||AUNJAIBOT||
2407031733382|Success|Voice Aileen - ลูกค้าวางสายก่อนยืนยันข้อมูล|4||AUNJAIBOT||
2407093467624|Success SMS||5||AUNJAIBOT||
2407081237767|Success SMS||5||AUNJAIBOT||
2407031817885|Success SMS||5||AUNJAIBOT||
2407081197103|Success SMS||5||AUNJAIBOT||
2407081176282|Success SMS||5||AUNJAIBOT||
2407093463332|Success SMS||5||AUNJAIBOT||
2407081142610|Success SMS||5||AUNJAIBOT||
2407093445837|Success SMS||5||AUNJAIBOT||
2407081221335|Success SMS||5||AUNJAIBOT||
2407071186627|Success SMS||5||AUNJAIBOT||
2407093480322|Success SMS||5||AUNJAIBOT||
2407093537909|Success SMS||5||AUNJAIBOT||
2407093540664|Success SMS||5||AUNJAIBOT||
2407093539551|Success SMS||5||AUNJAIBOT||
2407071239212|Success SMS||5||AUNJAIBOT||
2407071234811|Success SMS||5||AUNJAIBOT||
2407093524854|Success SMS||5||AUNJAIBOT||
2407081227866|Unsuccess|System Conect|3||AUNJAIBOT||
2407031859035|Success SMS||5||AUNJAIBOT||
2407093524181|Unsuccess|System Conect|4||AUNJAIBOT||
2407031843937|Unsuccess|System Conect|4||AUNJAIBOT||
2407031819031|Unsuccess|System Conect|2||AUNJAIBOT||
2407071168961|Success SMS||5||AUNJAIBOT||
2407071173028|Unsuccess|System Conect|4||AUNJAIBOT||
2407071174410|Success SMS||5||AUNJAIBOT||
2407071173612|Unsuccess|System Conect|3||AUNJAIBOT||
2407093473989|Unsuccess|System Conect|4||AUNJAIBOT||
2407081158891|Success SMS||5||AUNJAIBOT||
2407032178176|Success SMS||5||AUNJAIBOT||
2407093467850|Unsuccess|System Conect|4||AUNJAIBOT||
2407081178352|Success SMS||5||AUNJAIBOT||
2407093443025|Unsuccess|System Conect|3||AUNJAIBOT||
2407231136642|Unsuccess|System Conect|4||AUNJAIBOT||
2407093450418|Success SMS||5||AUNJAIBOT||
2407071250653|Unsuccess|System Conect|3||AUNJAIBOT||
240723800198|Unsuccess|System Conect|1||AUNJAIBOT||
2407032180054|Success SMS||5||AUNJAIBOT||
2407093548432|Success SMS||5||AUNJAIBOT||
2407032089705|Unsuccess|System Conect|4||AUNJAIBOT||
2407081242436|Success|Voice Aileen - ลูกค้าวางสายก่อนยืนยันข้อมูล|4||AUNJAIBOT||
2407093538663|Unsuccess|System Conect|3||AUNJAIBOT||
2407093448844|Unsuccess|System Conect|3||AUNJAIBOT||
2407031844165|Success SMS||5||AUNJAIBOT||
2407093534509|Success SMS||5||AUNJAIBOT||
2407081228392|Success SMS||5||AUNJAIBOT||
2407081128701|Unsuccess|System Conect|4||AUNJAIBOT||
2407081135060|Success SMS||5||AUNJAIBOT||
2407081159242|Unsuccess|System Conect|4||AUNJAIBOT||
2407093547650|Unsuccess|System Conect|4||AUNJAIBOT||
2407093451782|Unsuccess|System Conect|4||AUNJAIBOT||
2407093548097|Success SMS||5||AUNJAIBOT||
2407032049439|Unsuccess|System Conect|4||AUNJAIBOT||
2407071153051|Success SMS||5||AUNJAIBOT||
2407081170274|Success SMS||5||AUNJAIBOT||
2407071191575|Unsuccess|System Conect|4||AUNJAIBOT||
2407231137318|Unsuccess|System Conect|4||AUNJAIBOT||
2407221387779|Unsuccess|System Conect|4||AUNJAIBOT||
2407231047960|Unsuccess|System Conect|1||AUNJAIBOT||
2407081232523|Unsuccess|System Conect|4||AUNJAIBOT||
2407032179506|Success SMS||5||AUNJAIBOT||
2407031842388|Success SMS||5||AUNJAIBOT||
2407071235881|Success SMS||5||AUNJAIBOT||
2407081241037|Unsuccess|System Conect|3||AUNJAIBOT||
2407071249159|Success SMS||5||AUNJAIBOT||
2407032047322|Unsuccess|System Conect|4||AUNJAIBOT||
2407081221417|Success SMS||5||AUNJAIBOT||
2407093534841|Success SMS||5||AUNJAIBOT||
2407231050390|Success|Voice Aileen ไม่ตอบรับ - ลูกค้าไม่สนใจแพ็กเกจ|1||AUNJAIBOT||
2407081154737|Success SMS||5||AUNJAIBOT||
2407071157562|Success SMS||5||AUNJAIBOT||
2407071179963|Unsuccess|System Conect|2||AUNJAIBOT||
2407093469213|Success SMS||5||AUNJAIBOT||
2407071183262|Success SMS||5||AUNJAIBOT||
2407093460112|Success SMS||5||AUNJAIBOT||
2407093547481|Success SMS||5||AUNJAIBOT||
2407081134254|Unsuccess|System Conect|4||AUNJAIBOT||
2407071237891|Success SMS||5||AUNJAIBOT||
2407093539089|Success SMS||5||AUNJAIBOT||
2407071245743|Success SMS||5||AUNJAIBOT||
2407093444872|Success SMS||5||AUNJAIBOT||
2407071248802|Success SMS||5||AUNJAIBOT||
2407071193739|Success SMS||5||AUNJAIBOT||
240723758944|Unsuccess|System Conect|3||AUNJAIBOT||
240723759005|Unsuccess|System Conect|4||AUNJAIBOT||
2407093504778|Success SMS||5||AUNJAIBOT||
2407093506101|Success SMS||5||AUNJAIBOT||
2407071157648|Success SMS||5||AUNJAIBOT||
2407032179928|Success SMS||5||AUNJAIBOT||
2407093458579|Success SMS||5||AUNJAIBOT||
2407093453755|Success SMS||5||AUNJAIBOT||
2407071153787|Success SMS||5||AUNJAIBOT||
2407081133685|Success SMS||5||AUNJAIBOT||
2407081143324|Unsuccess|System Conect|4||AUNJAIBOT||
2407081128655|Success SMS||5||AUNJAIBOT||
2407081129834|Success SMS||5||AUNJAIBOT||
2407081132487|Unsuccess|System Conect|4||AUNJAIBOT||
2407071182772|Success|Voice Aileen - ลูกค้าวางสายก่อนยืนยันข้อมูล|5||AUNJAIBOT||
2407081168892|Success SMS||5||AUNJAIBOT||
2407093465673|Unsuccess|System Conect|4||AUNJAIBOT||
2407071186626|Success SMS||5||AUNJAIBOT||
240723800481|Unsuccess|System Conect|2||AUNJAIBOT||
240723800707|Unsuccess|System Conect|2||AUNJAIBOT||
